snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation,coverage
Circumcision by surgical excision on newborn (procedure),80724002,80724002,Circumcision by surgical excision on newborn (procedure),(<!236279004|Excision of hooded prepuce (procedure)| AND <!176548009|Standard circumcision (procedure)|)&limit=7000,1,1
Pediculosis capitis (disorder),81000006,81000006,Pediculosis capitis (disorder),(<!200727009|Scalp infection (disorder)| AND <!279425004|Disorder of hair (disorder)| AND <!128938009|Parasitic infection of skin (disorder)| AND <!402144007|Dermatosis caused by Insecta (disorder)| AND <!20848007|Infestation caused by Pediculus (disorder)|)&limit=7000,1,1
Intestinal obstruction (disorder),81060008,81060008,Intestinal obstruction (disorder),(<!85919009|Disorder of intestine (disorder)| AND <!126765001|Gastrointestinal obstruction (disorder)|)&limit=7000,1,1
Primary lateral sclerosis (disorder),81211007,81211007,Primary lateral sclerosis (disorder),(<!299735001|Neurological lesion (finding)| AND <!95647008|Upper motor neuron disease (disorder)|)&limit=7000,1,1
Neurofibromatosis (morphologic abnormality),81669005,253088003,Melanotic schwannoma (morphologic abnormality),"(<!115242003|Nerve sheath tumor (morphologic abnormality)| AND <!86251006|Neoplasm, uncertain whether benign or malignant (morphologic abnormality)|)&limit=7000",2,2
Neurofibromatosis (morphologic abnormality),81669005,81669005,Neurofibromatosis (morphologic abnormality),"(<!115242003|Nerve sheath tumor (morphologic abnormality)| AND <!86251006|Neoplasm, uncertain whether benign or malignant (morphologic abnormality)|)&limit=7000",2,2
Neck pain (finding),81680005,81680005,Neck pain (finding),(<!298378000|Finding of neck region (finding)| AND <!279001004|Pain finding at anatomical site (finding)|)&limit=7000,1,1
Thyroiditis (disorder),82119001,82119001,Thyroiditis (disorder),(<!363171009|Inflammation of specific body systems (disorder)| AND <!14304000|Disorder of thyroid gland (disorder)|)&limit=7000,1,1
Vascular insufficiency of intestine (disorder),82196007,82196007,Vascular insufficiency of intestine (disorder),(<!284005003|Abdominal cavity injury (disorder)| AND <!128321003|Vascular disorder of intestine (disorder)| AND <!85919009|Disorder of intestine (disorder)| AND <!312607004|Gastrointestinal tract vascular insufficiency (disorder)| AND <!105612003|Injury of internal organ (disorder)|)&limit=7000,1,1
Injury of head (disorder),82271004,82271004,Injury of head (disorder),(<!897601009|Injury of head and/or neck (disorder)| AND <!118934005|Disorder of head (disorder)|)&limit=7000,1,1
Allergic granulomatosis angiitis (disorder),82275008,82275008,Allergic granulomatosis angiitis (disorder),(<!128561003|Disorder characterized by granuloma formation (disorder)| AND <!427213005|Autoimmune vasculitis (disorder)| AND <!60555002|Hypersensitivity angiitis (disorder)| AND <!52089001|Arteritis (disorder)| AND <!11791001|Necrotizing vasculitis (disorder)| AND <!234019004|Secondary systemic vasculitis (disorder)| AND <!7930004|Necrosis of artery (disorder)|)&limit=7000,1,1
Hyperglycemia due to diabetes mellitus (disorder),822995009,822995009,Hyperglycemia due to diabetes mellitus (disorder),(<!80394007|Hyperglycemia (disorder)| AND <!444780001|Glucose in blood specimen above reference range (finding)| AND <!237620003|Abnormal metabolic state due to diabetes mellitus (disorder)|)&limit=7000,1,1
Removal of ectopic fetus (procedure),82688001,82688001,Removal of ectopic fetus (procedure),(<!386637004|Obstetric procedure (procedure)| AND <!118292001|Removal (procedure)|)&limit=7000,1,1
Patent ductus arteriosus (disorder),83330001,83330001,Patent ductus arteriosus (disorder),(<!297218007|Congenital abnormality of ductus arteriosus (disorder)| AND <!234122004|Persistence of primitive artery (disorder)|)&limit=7000,1,1
Sjögren's syndrome (disorder),83901003,83901003,Sjögren's syndrome (disorder),(<!363170005|Inflammation of specific body structures or tissue (disorder)| AND <!85828009|Autoimmune disease (disorder)| AND <!81573002|Collagen disease (disorder)|)&limit=7000,1,1
Bursitis (disorder),84017003,84017003,Bursitis (disorder),(<!10597006|Disorder of bursa (disorder)| AND <!363169009|Inflammation of specific body organs (disorder)| AND <!363179006|Inflammatory disorder of musculoskeletal system (disorder)|)&limit=7000,1,1
Peripheral arterial disease (disorder),840580004,840580004,Peripheral arterial disease (disorder),(<!400047006|Peripheral vascular disease (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)|)&limit=7000,4,4
Peripheral arterial disease (disorder),840580004,443971004,Arteriosclerosis of artery of extremity (disorder),(<!400047006|Peripheral vascular disease (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)|)&limit=7000,4,4
Peripheral arterial disease (disorder),840580004,233958001,Peripheral ischemia (disorder),(<!400047006|Peripheral vascular disease (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)|)&limit=7000,4,4
Peripheral arterial disease (disorder),840580004,77788005,Vasomotor acroparesthesia (disorder),(<!400047006|Peripheral vascular disease (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)|)&limit=7000,4,4
Hiatal hernia (disorder),84089009,84089009,Hiatal hernia (disorder),(<!118948005|Disorder of abdomen (disorder)| AND <!249561001|Abdominal organ finding (finding)| AND <!105969002|Disorder of connective tissue (disorder)|)&limit=7000,1,1
Compression injury of nerve (disorder),84116009,213267001,Injury to nerve during surgery (disorder),(<!57182000|Nerve injury (disorder)| AND <!417746004|Traumatic injury (disorder)|)&limit=7000,2,2
Compression injury of nerve (disorder),84116009,84116009,Compression injury of nerve (disorder),(<!57182000|Nerve injury (disorder)| AND <!417746004|Traumatic injury (disorder)|)&limit=7000,2,2
Meralgia paresthetica (disorder),85007004,85007004,Meralgia paresthetica (disorder),(<!373673007|Disorder characterized by pain (disorder)| AND <!307365001|Lateral cutaneous nerve of thigh lesion (disorder)| AND <!230637008|Compression neuropathy of lower limb (disorder)| AND <!78514002|Thigh pain (finding)|)&limit=7000,1,1
Polyhydramnios (disorder),86203003,313017000,Anhydramnios (disorder),(<!72860003|Disorder of amniotic cavity AND/OR membrane (disorder)| AND <!388605009|Disorder of chorion (disorder)|)&limit=7000,4,4
Polyhydramnios (disorder),86203003,86203003,Polyhydramnios (disorder),(<!72860003|Disorder of amniotic cavity AND/OR membrane (disorder)| AND <!388605009|Disorder of chorion (disorder)|)&limit=7000,4,4
Polyhydramnios (disorder),86203003,59566000,Oligohydramnios (disorder),(<!72860003|Disorder of amniotic cavity AND/OR membrane (disorder)| AND <!388605009|Disorder of chorion (disorder)|)&limit=7000,4,4
Polyhydramnios (disorder),86203003,10573002,Infection of amniotic cavity (disorder),(<!72860003|Disorder of amniotic cavity AND/OR membrane (disorder)| AND <!388605009|Disorder of chorion (disorder)|)&limit=7000,4,4
Avascular necrosis (morphologic abnormality),86217007,86217007,Avascular necrosis (morphologic abnormality),(<!6574001|Necrosis (morphologic abnormality)| AND <!449735000|Structural change due to ischemia (morphologic abnormality)|)&limit=7000,2,2
Avascular necrosis (morphologic abnormality),86217007,55641003,Infarct (morphologic abnormality),(<!6574001|Necrosis (morphologic abnormality)| AND <!449735000|Structural change due to ischemia (morphologic abnormality)|)&limit=7000,2,2
Aortic valve disorder (disorder),8722008,8722008,Aortic valve disorder (disorder),(<!301099004|Aortic valve finding (finding)| AND <!368009|Heart valve disorder (disorder)|)&limit=7000,1,1
Iron deficiency anemia (disorder),87522002,721295000,Acquired thiamine deficiency anemia (disorder),(<!66612000|Nutritional anemia (disorder)| AND <!363246002|Nutritional deficiency associated condition (disorder)|)&limit=7000,6,6
Iron deficiency anemia (disorder),87522002,87522002,Iron deficiency anemia (disorder),(<!66612000|Nutritional anemia (disorder)| AND <!363246002|Nutritional deficiency associated condition (disorder)|)&limit=7000,6,6
Iron deficiency anemia (disorder),87522002,85649008,Megaloblastic anemia due to folate deficiency (disorder),(<!66612000|Nutritional anemia (disorder)| AND <!363246002|Nutritional deficiency associated condition (disorder)|)&limit=7000,6,6
Iron deficiency anemia (disorder),87522002,52565000,Non megaloblastic anemia associated with nutritional deficiency (disorder),(<!66612000|Nutritional anemia (disorder)| AND <!363246002|Nutritional deficiency associated condition (disorder)|)&limit=7000,6,6
Iron deficiency anemia (disorder),87522002,49472006,Megaloblastic anemia due to vitamin B>12< deficiency (disorder),(<!66612000|Nutritional anemia (disorder)| AND <!363246002|Nutritional deficiency associated condition (disorder)|)&limit=7000,6,6
Iron deficiency anemia (disorder),87522002,48580008,Anemia due to starvation (disorder),(<!66612000|Nutritional anemia (disorder)| AND <!363246002|Nutritional deficiency associated condition (disorder)|)&limit=7000,6,6
Alexander technique (regime/therapy),876850004,876850004,Alexander technique (regime/therapy),(<!229080003|Exercise regime (regime/therapy)| AND <!64299003|Relaxation training therapy (regime/therapy)|)&limit=7000,1,1
Capillary leak syndrome (disorder),87730004,87730004,Capillary leak syndrome (disorder),(<!11263005|Vascular disease of the skin (disorder)| AND <!58729003|Disorder of capillaries (disorder)|)&limit=7000,1,1
Transplant of lung (procedure),88039007,88039007,Transplant of lung (procedure),(<!363186003|Introduction of substance by body site (procedure)| AND <!387714009|Operation on lung (procedure)| AND <!313039003|Solid organ transplant (procedure)| AND <!120158008|Thorax transplantation (procedure)|)&limit=7000,1,1
Choroid plexus carcinoma (morphologic abnormality),88252006,88252006,Choroid plexus carcinoma (morphologic abnormality),(<!277980006|Choroid plexus-derived tumors (morphologic abnormality)| AND <!416500007|Malignant glioma - category (morphologic abnormality)|)&limit=7000,1,1
Oligozoospermia (finding),88311004,271777008,Pyospermia (finding),(<!118228005|Functional finding (finding)| AND <!250498001|Semen finding (finding)|)&limit=7000,3,3
Oligozoospermia (finding),88311004,88311004,Oligozoospermia (finding),(<!118228005|Functional finding (finding)| AND <!250498001|Semen finding (finding)|)&limit=7000,3,3
Oligozoospermia (finding),88311004,34615008,Hemospermia (finding),(<!118228005|Functional finding (finding)| AND <!250498001|Semen finding (finding)|)&limit=7000,3,3
Wilson's disease (disorder),88518009,88518009,Wilson's disease (disorder),(<!235903001|Metabolic and genetic disorder affecting the liver (disorder)| AND <!363080007|Digestive system hereditary disorder (disorder)| AND <!52522001|Degenerative brain disorder (disorder)| AND <!106018006|Hereditary degenerative disease of central nervous system (disorder)| AND <!85995004|Autosomal recessive hereditary disorder (disorder)| AND <!79886009|Disorder of copper metabolism (disorder)| AND <!230298007|Disorder presenting primarily with chorea (disorder)|)&limit=7000,1,1
Heart murmur (finding),88610006,88610006,Heart murmur (finding),(<!414786004|Murmur (finding)| AND <!301126002|Finding of heart sounds (finding)|)&limit=7000,1,1
Cardiogenic shock (disorder),89138009,89138009,Cardiogenic shock (disorder),(<!128487001|Acute disease of cardiovascular system (disorder)| AND <!27942005|Shock (disorder)| AND <!105980002|Disease affecting entire cardiovascular system (disorder)|)&limit=7000,1,1
Breast lump (finding),89164003,89164003,Breast lump (finding),(<!290073004|Lesion of breast (finding)| AND <!440299000|Mass of thoracic structure (finding)|)&limit=7000,1,1
Prader-Willi syndrome (disorder),89392001,89392001,Prader-Willi syndrome (disorder),(<!82354003|Multiple system malformation syndrome (disorder)| AND <!700364009|Neurodevelopmental disorder (disorder)| AND <!782964007|Genetic disease (disorder)| AND <!722944006|Congenital hypogonadotropic hypogonadism (disorder)|)&limit=7000,1,1
Lichen sclerosus (disorder),895454001,895454001,Lichen sclerosus (disorder),(<!128294001|Chronic inflammatory disorder (disorder)| AND <!363171009|Inflammation of specific body systems (disorder)| AND <!714974000|Lesion of skin and/or skin-associated mucous membrane (finding)| AND <!254666005|Keratosis (disorder)|)&limit=7000,1,1
Congenital anomaly of skeletal muscle (disorder),89886004,89886004,Congenital anomaly of skeletal muscle (disorder),(<!79191007|Congenital anomaly of muscle AND/OR tendon (disorder)| AND <!75047002|Disorder of skeletal muscle (disorder)|)&limit=7000,1,1
Psoriasis (disorder),9014002,9014002,Psoriasis (disorder),(<!95320005|Disorder of skin (disorder)| AND <!426871003|Cell-mediated cytotoxic disorder (disorder)|)&limit=7000,1,1
Tonsillitis (disorder),90176007,90176007,Tonsillitis (disorder),(<!23023009|Disorder of palatine tonsil (disorder)| AND <!281795003|Inflamed tonsils (finding)| AND <!363176004|Inflammatory disorder of head (disorder)| AND <!363177008|Inflammatory disorder of immune system (disorder)| AND <!405737000|Pharyngitis (disorder)|)&limit=7000,1,1
"Cytopathology procedure, preparation of smear, genital source (procedure)",90226004,90226004,"Cytopathology procedure, preparation of smear, genital source (procedure)",(<!448938001|Preparation of smear (procedure)| AND <!77485009|Cytopathology procedure or service (procedure)|)&limit=7000,4,4
"Cytopathology procedure, preparation of smear, genital source (procedure)",90226004,77896007,"Cytopathology procedure, cell block and smear preparation (procedure)",(<!448938001|Preparation of smear (procedure)| AND <!77485009|Cytopathology procedure or service (procedure)|)&limit=7000,4,4
"Cytopathology procedure, preparation of smear, genital source (procedure)",90226004,72509008,Smear for cell identification (procedure),(<!448938001|Preparation of smear (procedure)| AND <!77485009|Cytopathology procedure or service (procedure)|)&limit=7000,4,4
"Cytopathology procedure, preparation of smear, genital source (procedure)",90226004,8638007,"Cytopathology procedure, preparation of smear, nongenital source (procedure)",(<!448938001|Preparation of smear (procedure)| AND <!77485009|Cytopathology procedure or service (procedure)|)&limit=7000,4,4
Pruritus ani (disorder),90446007,90446007,Pruritus ani (disorder),(<!10676911000119100|Pruritis of skin of anogenital region (disorder)| AND <!400037008|Disorder of perianal skin (disorder)|)&limit=7000,1,1
Inflammatory disorder due to increased blood urate level (disorder),90560007,90560007,Inflammatory disorder due to increased blood urate level (disorder),(<!269859006|Blood urate raised (finding)| AND <!32612005|Disorder of purine metabolism (disorder)|)&limit=7000,1,1
